year,stock,capture,effort
1950,Makaira nigricans,12,210639506.7
1950,Pleuronectiformes,12116,210639506.7
1950,Promethichthys prometheus,718,210639506.7
1950,Xiphias gladius,15086,210639506.7
1951,Makaira nigricans,103,162948428.8
1951,Pleuronectiformes,9469,162948428.8
1951,Promethichthys prometheus,1173,162948428.8
1951,Xiphias gladius,15199,162948428.8
1952,Makaira nigricans,121,230300432.9
1952,Pleuronectiformes,10334,230300432.9
1952,Promethichthys prometheus,610,230300432.9
1952,Xiphias gladius,12888,230300432.9
1953,Makaira nigricans,65,289006652.7
1953,Pleuronectiformes,8765,289006652.7
1953,Promethichthys prometheus,752,289006652.7
1953,Xiphias gladius,14559,289006652.7
1954,Chanos chanos,500,399373818.5
1954,Makaira nigricans,110,399373818.5
1954,Pleuronectiformes,9819,399373818.5
1954,Promethichthys prometheus,1069,399373818.5
1954,Xiphias gladius,10718,399373818.5
1955,Chanos chanos,700,337104624.3
1955,Grampus griseus,300,337104624.3
1955,Makaira nigricans,61,337104624.3
1955,Pleuronectiformes,9286,337104624.3
1955,Promethichthys prometheus,937,337104624.3
1955,Xiphias gladius,8314,337104624.3
1956,Chanos chanos,1700,377935094.9
1956,Grampus griseus,300,377935094.9
1956,Makaira nigricans,125,377935094.9
1956,Pleuronectiformes,8370,377935094.9
1956,Promethichthys prometheus,1301,377935094.9
1956,Xiphias gladius,10226,377935094.9
1957,Chanos chanos,1700,409906277.4
1957,Grampus griseus,500,409906277.4
1957,Makaira nigricans,171,409906277.4
1957,Pleuronectiformes,8853,409906277.4
1957,Promethichthys prometheus,990,409906277.4
1957,Xiphias gladius,7561,409906277.4
1958,Chanos chanos,1600,256047022.9
1958,Grampus griseus,500,256047022.9
1958,Makaira nigricans,214,256047022.9
1958,Pleuronectiformes,8703,256047022.9
1958,Promethichthys prometheus,786,256047022.9
1958,Xiphias gladius,24777,256047022.9
1959,Chanos chanos,1700,412358641.4
1959,Elasmobranchii,54,412358641.4
1959,Grampus griseus,500,412358641.4
1959,Makaira nigricans,203,412358641.4
1959,Pleuronectiformes,8268,412358641.4
1959,Promethichthys prometheus,879,412358641.4
1959,Xiphias gladius,22395,412358641.4
1960,Chanos chanos,1500,337441192
1960,Elasmobranchii,41,337441192
1960,Grampus griseus,1300,337441192
1960,Makaira nigricans,147,337441192
1960,Pleuronectiformes,7551,337441192
1960,Promethichthys prometheus,1097,337441192
1960,Xiphias gladius,32078,337441192
1961,Chanos chanos,1700,278367296
1961,Elasmobranchii,53,278367296
1961,Grampus griseus,1400,278367296
1961,Makaira nigricans,167,278367296
1961,Pleuronectiformes,8236,278367296
1961,Promethichthys prometheus,734,278367296
1961,Xiphias gladius,48497,278367296
1962,Chanos chanos,1000,466353927.5
1962,Elasmobranchii,49,466353927.5
1962,Grampus griseus,2100,466353927.5
1962,Makaira nigricans,18,466353927.5
1962,Merluccius productus,36,466353927.5
1962,Pleuronectiformes,8990,466353927.5
1962,Promethichthys prometheus,914,466353927.5
1962,Xiphias gladius,40574,466353927.5
1963,Chanos chanos,1500,321836081.1
1963,Elasmobranchii,58,321836081.1
1963,Grampus griseus,1500,321836081.1
1963,Makaira nigricans,44,321836081.1
1963,Merluccius productus,63,321836081.1
1963,Pleuronectiformes,9948,321836081.1
1963,Promethichthys prometheus,821,321836081.1
1963,Trichiuridae,100,321836081.1
1963,Xiphias gladius,42355,321836081.1
1964,Chanos chanos,900,392161093.5
1964,Elasmobranchii,39,392161093.5
1964,Grampus griseus,1800,392161093.5
1964,Makaira nigricans,5583,392161093.5
1964,Merluccius productus,51,392161093.5
1964,Pleuronectiformes,9562,392161093.5
1964,Promethichthys prometheus,1117,392161093.5
1964,Trichiuridae,100,392161093.5
1964,Xiphias gladius,44570,392161093.5
1965,Chanos chanos,700,289906215.9
1965,Elasmobranchii,41,289906215.9
1965,Grampus griseus,4100,289906215.9
1965,Makaira nigricans,2648,289906215.9
1965,Merluccius productus,54,289906215.9
1965,Pleuronectiformes,10398,289906215.9
1965,Promethichthys prometheus,1299,289906215.9
1965,Trichiuridae,0.001,289906215.9
1965,Xiphias gladius,52252,289906215.9
1966,Chanos chanos,900,278218543.9
1966,Elasmobranchii,39,278218543.9
1966,Grampus griseus,5500,278218543.9
1966,Makaira nigricans,2813,278218543.9
1966,Merluccius productus,31,278218543.9
1966,Pleuronectiformes,10423,278218543.9
1966,Promethichthys prometheus,1459,278218543.9
1966,Trichiuridae,0.001,278218543.9
1966,Xiphias gladius,63245,278218543.9
1967,Chanos chanos,700,394027505.8
1967,Elasmobranchii,33,394027505.8
1967,Engraulis mordax,200,394027505.8
1967,Grampus griseus,8100,394027505.8
1967,Makaira nigricans,1938,394027505.8
1967,Merluccius productus,7,394027505.8
1967,Pleuronectiformes,9611,394027505.8
1967,Promethichthys prometheus,1723,394027505.8
1967,Trichiuridae,0.001,394027505.8
1967,Xiphias gladius,91980,394027505.8
1968,Chanos chanos,900,300239324.9
1968,Elasmobranchii,32,300239324.9
1968,Engraulis mordax,400,300239324.9
1968,Grampus griseus,5000,300239324.9
1968,Katsuwonus pelamis,100,300239324.9
1968,Makaira nigricans,2690,300239324.9
1968,Merluccius productus,0.001,300239324.9
1968,Pleuronectiformes,11387,300239324.9
1968,Promethichthys prometheus,1460,300239324.9
1968,Trichiuridae,0.001,300239324.9
1968,Xiphias gladius,105401,300239324.9
1969,Chanos chanos,1100,294094973.4
1969,Elasmobranchii,24,294094973.4
1969,Engraulis mordax,0.001,294094973.4
1969,Grampus griseus,3900,294094973.4
1969,Katsuwonus pelamis,200,294094973.4
1969,Makaira nigricans,4768,294094973.4
1969,Merluccius productus,1,294094973.4
1969,Pleuronectiformes,11021,294094973.4
1969,Promethichthys prometheus,1886,294094973.4
1969,Trichiuridae,0.001,294094973.4
1969,Xiphias gladius,112791,294094973.4
1970,Chanos chanos,800,215900152.2
1970,Elasmobranchii,0.001,215900152.2
1970,Engraulis mordax,300,215900152.2
1970,Euthynnus lineatus,40,215900152.2
1970,Grampus griseus,5700,215900152.2
1970,Katsuwonus pelamis,210,215900152.2
1970,Makaira nigricans,6000,215900152.2
1970,Merluccius productus,0.001,215900152.2
1970,Penaeus stylirostris,2100,215900152.2
1970,Pleuronectiformes,5900,215900152.2
1970,Promethichthys prometheus,1300,215900152.2
1970,Trichiuridae,100,215900152.2
1970,Xiphias gladius,118100,215900152.2
1971,Chanos chanos,600,588196368.4
1971,Elasmobranchii,0.001,588196368.4
1971,Engraulis mordax,400,588196368.4
1971,Euthynnus lineatus,0.001,588196368.4
1971,Grampus griseus,1700,588196368.4
1971,Katsuwonus pelamis,50,588196368.4
1971,Makaira nigricans,2800,588196368.4
1971,Merluccius productus,0.001,588196368.4
1971,Penaeus stylirostris,2800,588196368.4
1971,Pleuronectiformes,6200,588196368.4
1971,Promethichthys prometheus,1500,588196368.4
1971,Trichiuridae,100,588196368.4
1971,Xiphias gladius,132300,588196368.4
1972,Chanos chanos,400,351810395.1
1972,Elasmobranchii,100,351810395.1
1972,Engraulis mordax,300,351810395.1
1972,Euthynnus lineatus,70,351810395.1
1972,Grampus griseus,2300,351810395.1
1972,Katsuwonus pelamis,50,351810395.1
1972,Makaira nigricans,3602,351810395.1
1972,Merluccius productus,0.001,351810395.1
1972,Penaeus stylirostris,2400,351810395.1
1972,Pleuronectiformes,4600,351810395.1
1972,Promethichthys prometheus,1300,351810395.1
1972,Trichiuridae,100,351810395.1
1972,Xiphias gladius,143700,351810395.1
1973,Chanos chanos,200,198453129.1
1973,Elasmobranchii,0.001,198453129.1
1973,Engraulis mordax,400,198453129.1
1973,Euthynnus lineatus,840,198453129.1
1973,Grampus griseus,2100,198453129.1
1973,Katsuwonus pelamis,120,198453129.1
1973,Makaira nigricans,4504,198453129.1
1973,Merluccius productus,0.001,198453129.1
1973,Penaeus stylirostris,3400,198453129.1
1973,Pleuronectiformes,4300,198453129.1
1973,Promethichthys prometheus,1100,198453129.1
1973,Trichiuridae,0.001,198453129.1
1973,Xiphias gladius,152500,198453129.1
1974,Auxis thazard,22,773224585.5
1974,Chanos chanos,33,773224585.5
1974,Elasmobranchii,42,773224585.5
1974,Engraulis mordax,360,773224585.5
1974,Euthynnus lineatus,1772,773224585.5
1974,Grampus griseus,3233,773224585.5
1974,Katsuwonus pelamis,149,773224585.5
1974,Makaira nigricans,2814,773224585.5
1974,Merluccius productus,20,773224585.5
1974,Penaeus stylirostris,4293,773224585.5
1974,Pleuronectiformes,3776,773224585.5
1974,Promethichthys prometheus,2966,773224585.5
1974,Trichiuridae,54,773224585.5
1974,Xiphias gladius,51009,773224585.5
1975,Auxis thazard,40,641769220.9
1975,Chanos chanos,22,641769220.9
1975,Elasmobranchii,44,641769220.9
1975,Engraulis mordax,644,641769220.9
1975,Euthynnus lineatus,154,641769220.9
1975,Grampus griseus,4361,641769220.9
1975,Katsuwonus pelamis,149,641769220.9
1975,Makaira nigricans,2697,641769220.9
1975,Merluccius productus,22812,641769220.9
1975,Penaeus stylirostris,3693,641769220.9
1975,Pleuronectiformes,5019,641769220.9
1975,Promethichthys prometheus,3664,641769220.9
1975,Trichiuridae,47,641769220.9
1975,Xiphias gladius,58401,641769220.9
1976,Auxis thazard,74,427775274.7
1976,Chanos chanos,49,427775274.7
1976,Elasmobranchii,56,427775274.7
1976,Engraulis mordax,571,427775274.7
1976,Euthynnus lineatus,959,427775274.7
1976,Grampus griseus,4377,427775274.7
1976,Katsuwonus pelamis,295,427775274.7
1976,Makaira nigricans,3908,427775274.7
1976,Merluccius productus,1094,427775274.7
1976,Penaeus stylirostris,4551,427775274.7
1976,Pleuronectiformes,5508,427775274.7
1976,Promethichthys prometheus,3715,427775274.7
1976,Trichiuridae,50,427775274.7
1976,Xiphias gladius,75709,427775274.7
1977,Auxis thazard,96,851879717.8
1977,Chanos chanos,41,851879717.8
1977,Elasmobranchii,29,851879717.8
1977,Engraulis mordax,422,851879717.8
1977,Euthynnus lineatus,996,851879717.8
1977,Grampus griseus,3807,851879717.8
1977,Katsuwonus pelamis,194,851879717.8
1977,Makaira nigricans,3216,851879717.8
1977,Merluccius productus,20,851879717.8
1977,Penaeus stylirostris,5424,851879717.8
1977,Pleuronectiformes,1971,851879717.8
1977,Promethichthys prometheus,5516,851879717.8
1977,Trichiuridae,79,851879717.8
1977,Xiphias gladius,40015,851879717.8
1978,Auxis thazard,109,941504481.8
1978,Chanos chanos,46,941504481.8
1978,Elasmobranchii,25,941504481.8
1978,Engraulis mordax,335,941504481.8
1978,Euthynnus lineatus,1311,941504481.8
1978,Grampus griseus,6490,941504481.8
1978,Katsuwonus pelamis,152,941504481.8
1978,Makaira nigricans,3760,941504481.8
1978,Merluccius productus,162,941504481.8
1978,Penaeus stylirostris,8037,941504481.8
1978,Pleuronectiformes,9684,941504481.8
1978,Promethichthys prometheus,5485,941504481.8
1978,Trichiuridae,332,941504481.8
1978,Xiphias gladius,127664,941504481.8
1979,Auxis thazard,177,765641960.4
1979,Chanos chanos,39,765641960.4
1979,Elasmobranchii,44,765641960.4
1979,Engraulis mordax,483,765641960.4
1979,Euthynnus lineatus,530,765641960.4
1979,Grampus griseus,13888,765641960.4
1979,Katsuwonus pelamis,381,765641960.4
1979,Makaira nigricans,3215,765641960.4
1979,Merluccius productus,23,765641960.4
1979,Penaeus stylirostris,9137,765641960.4
1979,Pleuronectiformes,7903,765641960.4
1979,Promethichthys prometheus,7267,765641960.4
1979,Trichiuridae,48,765641960.4
1979,Xiphias gladius,181030,765641960.4
1980,Auxis thazard,302,1272171373
1980,Chanos chanos,211,1272171373
1980,Elasmobranchii,26,1272171373
1980,Engraulis mordax,513,1272171373
1980,Euthynnus lineatus,1730,1272171373
1980,Grampus griseus,10276,1272171373
1980,Katsuwonus pelamis,1297,1272171373
1980,Makaira nigricans,4308,1272171373
1980,Merluccius productus,15,1272171373
1980,Penaeus stylirostris,9017,1272171373
1980,Pleuronectiformes,7289,1272171373
1980,Promethichthys prometheus,2425,1272171373
1980,Trichiuridae,331,1272171373
1980,Xiphias gladius,169899,1272171373
1981,Auxis thazard,508,755872740.9
1981,Chanos chanos,209,755872740.9
1981,Elasmobranchii,147,755872740.9
1981,Engraulis mordax,1097,755872740.9
1981,Euthynnus lineatus,730,755872740.9
1981,Grampus griseus,8874,755872740.9
1981,Katsuwonus pelamis,1184,755872740.9
1981,Makaira nigricans,5534,755872740.9
1981,Merluccius productus,2,755872740.9
1981,Penaeus stylirostris,11139,755872740.9
1981,Pleuronectiformes,8286,755872740.9
1981,Promethichthys prometheus,4227,755872740.9
1981,Trichiuridae,464,755872740.9
1981,Xiphias gladius,274037,755872740.9
1982,Auxis thazard,440,716484474.1
1982,Chanos chanos,181,716484474.1
1982,Elasmobranchii,157,716484474.1
1982,Engraulis mordax,957,716484474.1
1982,Euthynnus lineatus,580,716484474.1
1982,Grampus griseus,5378,716484474.1
1982,Katsuwonus pelamis,967,716484474.1
1982,Makaira nigricans,4931,716484474.1
1982,Merluccius productus,8,716484474.1
1982,Opisthonema libertate,45,716484474.1
1982,Penaeus stylirostris,9659,716484474.1
1982,Pleuronectiformes,5710,716484474.1
1982,Promethichthys prometheus,4514,716484474.1
1982,Trichiuridae,402,716484474.1
1982,Xiphias gladius,56779,716484474.1
1983,Auxis thazard,199,624845889.9
1983,Chanos chanos,175,624845889.9
1983,Elasmobranchii,80,624845889.9
1983,Engraulis mordax,282,624845889.9
1983,Euthynnus lineatus,497,624845889.9
1983,Grampus griseus,7459,624845889.9
1983,Katsuwonus pelamis,1284,624845889.9
1983,Makaira nigricans,4173,624845889.9
1983,Merluccius productus,4,624845889.9
1983,Opisthonema libertate,24,624845889.9
1983,Penaeus stylirostris,5590,624845889.9
1983,Pleuronectiformes,5059,624845889.9
1983,Promethichthys prometheus,3725,624845889.9
1983,Trichiuridae,247,624845889.9
1983,Xiphias gladius,68724,624845889.9
1984,Auxis thazard,62,979554909.9
1984,Chanos chanos,97,979554909.9
1984,Elasmobranchii,94,979554909.9
1984,Engraulis mordax,634,979554909.9
1984,Euthynnus lineatus,180,979554909.9
1984,Grampus griseus,8572,979554909.9
1984,Katsuwonus pelamis,1209,979554909.9
1984,Makaira nigricans,4800,979554909.9
1984,Merluccius productus,6,979554909.9
1984,Opisthonema libertate,0.001,979554909.9
1984,Penaeus stylirostris,6115,979554909.9
1984,Pleuronectiformes,6520,979554909.9
1984,Promethichthys prometheus,2317,979554909.9
1984,Trichiuridae,258,979554909.9
1984,Xiphias gladius,116975,979554909.9
1985,Auxis thazard,99,794330837.5
1985,Chanos chanos,1705,794330837.5
1985,Elasmobranchii,153,794330837.5
1985,Engraulis mordax,753,794330837.5
1985,Euthynnus lineatus,70,794330837.5
1985,Grampus griseus,7542,794330837.5
1985,Katsuwonus pelamis,7213,794330837.5
1985,Makaira nigricans,5001,794330837.5
1985,Merluccius productus,3,794330837.5
1985,Opisthonema libertate,0.001,794330837.5
1985,Penaeus stylirostris,6789,794330837.5
1985,Pleuronectiformes,10462,794330837.5
1985,Promethichthys prometheus,3498,794330837.5
1985,Trichiuridae,317,794330837.5
1985,Xiphias gladius,135771,794330837.5
1986,Auxis thazard,44,972786145.6
1986,Chanos chanos,603,972786145.6
1986,Elasmobranchii,315,972786145.6
1986,Engraulis mordax,2118,972786145.6
1986,Euthynnus lineatus,260,972786145.6
1986,Grampus griseus,5479,972786145.6
1986,Katsuwonus pelamis,8598,972786145.6
1986,Makaira nigricans,4933,972786145.6
1986,Merluccius productus,64,972786145.6
1986,Opisthonema libertate,0.001,972786145.6
1986,Penaeus stylirostris,5777,972786145.6
1986,Pleuronectiformes,7463,972786145.6
1986,Promethichthys prometheus,3141,972786145.6
1986,Trichiuridae,370,972786145.6
1986,Xiphias gladius,140512,972786145.6
1987,Auxis thazard,302,994103272.2
1987,Chanos chanos,730,994103272.2
1987,Elasmobranchii,304,994103272.2
1987,Engraulis mordax,374,994103272.2
1987,Euthynnus lineatus,380,994103272.2
1987,Grampus griseus,7140,994103272.2
1987,Katsuwonus pelamis,4704,994103272.2
1987,Makaira nigricans,5899,994103272.2
1987,Merluccius productus,10,994103272.2
1987,Opisthonema libertate,0.001,994103272.2
1987,Penaeus stylirostris,5292,994103272.2
1987,Pleuronectiformes,10642,994103272.2
1987,Promethichthys prometheus,2953,994103272.2
1987,Trichiuridae,339,994103272.2
1987,Xiphias gladius,117961,994103272.2
1988,Auxis thazard,306,1035010205
1988,Chanos chanos,577,1035010205
1988,Elasmobranchii,340,1035010205
1988,Engraulis mordax,474,1035010205
1988,Euthynnus lineatus,400,1035010205
1988,Grampus griseus,8110,1035010205
1988,Katsuwonus pelamis,3882,1035010205
1988,Makaira nigricans,5976,1035010205
1988,Merluccius productus,14,1035010205
1988,Opisthonema libertate,51,1035010205
1988,Penaeus stylirostris,6546,1035010205
1988,Pleuronectiformes,8739,1035010205
1988,Promethichthys prometheus,2449,1035010205
1988,Trichiuridae,400,1035010205
1988,Xiphias gladius,121717,1035010205
1989,Auxis thazard,194,969113753.4
1989,Chanos chanos,821,969113753.4
1989,Elasmobranchii,184,969113753.4
1989,Engraulis mordax,1389,969113753.4
1989,Euthynnus lineatus,610,969113753.4
1989,Grampus griseus,5683,969113753.4
1989,Katsuwonus pelamis,2896,969113753.4
1989,Makaira nigricans,5215,969113753.4
1989,Merluccius productus,87,969113753.4
1989,Opisthonema libertate,27,969113753.4
1989,Penaeus stylirostris,6484,969113753.4
1989,Pleuronectiformes,8898,969113753.4
1989,Promethichthys prometheus,2344,969113753.4
1989,Trichiuridae,277,969113753.4
1989,Xiphias gladius,110202,969113753.4
1990,Auxis thazard,1471,1025083243
1990,Chanos chanos,0.001,1025083243
1990,Elasmobranchii,184,1025083243
1990,Engraulis mordax,1749,1025083243
1990,Euthynnus lineatus,360,1025083243
1990,Grampus griseus,10737,1025083243
1990,Katsuwonus pelamis,3178,1025083243
1990,Makaira nigricans,8457,1025083243
1990,Merluccius productus,63,1025083243
1990,Opisthonema libertate,11,1025083243
1990,Penaeus stylirostris,9405,1025083243
1990,Pleuronectiformes,8818,1025083243
1990,Promethichthys prometheus,1928,1025083243
1990,Trichiuridae,264,1025083243
1990,Xiphias gladius,275483,1025083243
1991,Auxis thazard,1526,1069107826
1991,Chanos chanos,0.001,1069107826
1991,Elasmobranchii,233,1069107826
1991,Engraulis mordax,462,1069107826
1991,Euthynnus lineatus,130,1069107826
1991,Grampus griseus,10792,1069107826
1991,Katsuwonus pelamis,2734,1069107826
1991,Makaira nigricans,8709,1069107826
1991,Merluccius productus,101,1069107826
1991,Opisthonema libertate,13,1069107826
1991,Penaeus stylirostris,7788,1069107826
1991,Pleuronectiformes,10622,1069107826
1991,Promethichthys prometheus,1989,1069107826
1991,Trichiuridae,290,1069107826
1991,Xiphias gladius,306690,1069107826
1992,Auxis thazard,1310,912704212.1
1992,Chanos chanos,0.001,912704212.1
1992,Elasmobranchii,299,912704212.1
1992,Engraulis mordax,713,912704212.1
1992,Euthynnus lineatus,20,912704212.1
1992,Grampus griseus,5283,912704212.1
1992,Katsuwonus pelamis,3276,912704212.1
1992,Makaira nigricans,10864,912704212.1
1992,Merluccius productus,100,912704212.1
1992,Opisthonema libertate,11,912704212.1
1992,Penaeus stylirostris,6169,912704212.1
1992,Pleuronectiformes,9519,912704212.1
1992,Promethichthys prometheus,2058,912704212.1
1992,Trichiuridae,275,912704212.1
1992,Xiphias gladius,190239,912704212.1
1993,Auxis thazard,1279,671533279.2
1993,Chanos chanos,0.001,671533279.2
1993,Elasmobranchii,697,671533279.2
1993,Engraulis mordax,505,671533279.2
1993,Euthynnus lineatus,73,671533279.2
1993,Grampus griseus,4588,671533279.2
1993,Katsuwonus pelamis,2396,671533279.2
1993,Makaira nigricans,10590,671533279.2
1993,Merluccius productus,107,671533279.2
1993,Opisthonema libertate,22,671533279.2
1993,Penaeus stylirostris,6764,671533279.2
1993,Pleuronectiformes,7316,671533279.2
1993,Promethichthys prometheus,1343,671533279.2
1993,Trichiuridae,303,671533279.2
1993,Xiphias gladius,161485,671533279.2
1994,Auxis thazard,1349,1149356729
1994,Chanos chanos,0.001,1149356729
1994,Elasmobranchii,284,1149356729
1994,Engraulis mordax,384,1149356729
1994,Euthynnus lineatus,130,1149356729
1994,Grampus griseus,4250,1149356729
1994,Katsuwonus pelamis,2403,1149356729
